contract_no,claim_seq,document_type,document_type_ar,expected_filename,folder_hint,mandatory,upload_status,uploaded_at,missing_warning,external_ref,source_sheet,source_row,source_file,extraction_method,confidence_level,data_quality_notes
CMH_01-C01,9,فاتورة,فاتورة,CMH_01-CLM-009-INVOICE.pdf,04_PAYMENTS,إجباري,,,,CMH_01-CLM-009,سجل المرفقات,36,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,9,تقرير فني,تقرير فني,CMH_01-CLM-009-TECHREPORT.pdf,04_PAYMENTS,إجباري,,,,CMH_01-CLM-009,سجل المرفقات,37,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,10,فاتورة,فاتورة,CMH_01-CLM-010-INVOICE.pdf,04_PAYMENTS,إجباري,,,,CMH_01-CLM-010,سجل المرفقات,40,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,10,تقرير فني,تقرير فني,CMH_01-CLM-010-TECHREPORT.pdf,04_PAYMENTS,إجباري,,,,CMH_01-CLM-010,سجل المرفقات,41,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,11,فاتورة,فاتورة,CMH_01-CLM-011-INVOICE.pdf,04_PAYMENTS,إجباري,,,,CMH_01-CLM-011,سجل المرفقات,44,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,11,تقرير فني,تقرير فني,CMH_01-CLM-011-TECHREPORT.pdf,04_PAYMENTS,إجباري,,,,CMH_01-CLM-011,سجل المرفقات,45,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,12,فاتورة,فاتورة,CMH_01-CLM-012-INVOICE.pdf,04_PAYMENTS,إجباري,,,,CMH_01-CLM-012,سجل المرفقات,48,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,12,تقرير فني,تقرير فني,CMH_01-CLM-012-TECHREPORT.pdf,04_PAYMENTS,إجباري,,,,CMH_01-CLM-012,سجل المرفقات,49,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,13,فاتورة,فاتورة,CMH_01-CLM-013-INVOICE.pdf,04_PAYMENTS,إجباري,,,,CMH_01-CLM-013,سجل المرفقات,52,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,13,تقرير فني,تقرير فني,CMH_01-CLM-013-TECHREPORT.pdf,04_PAYMENTS,إجباري,,,,CMH_01-CLM-013,سجل المرفقات,53,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,14,فاتورة,فاتورة,CMH_01-CLM-014-INVOICE.pdf,04_PAYMENTS,إجباري,,,,CMH_01-CLM-014,سجل المرفقات,56,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,14,تقرير فني,تقرير فني,CMH_01-CLM-014-TECHREPORT.pdf,04_PAYMENTS,إجباري,,,,CMH_01-CLM-014,سجل المرفقات,57,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,15,فاتورة,فاتورة,CMH_01-CLM-015-INVOICE.pdf,04_PAYMENTS,إجباري,,,,CMH_01-CLM-015,سجل المرفقات,60,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,15,تقرير فني,تقرير فني,CMH_01-CLM-015-TECHREPORT.pdf,04_PAYMENTS,إجباري,,,,CMH_01-CLM-015,سجل المرفقات,61,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,16,فاتورة,فاتورة,CMH_01-CLM-016-INVOICE.pdf,04_PAYMENTS,إجباري,,,,CMH_01-CLM-016,سجل المرفقات,64,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,16,تقرير فني,تقرير فني,CMH_01-CLM-016-TECHREPORT.pdf,04_PAYMENTS,إجباري,,,,CMH_01-CLM-016,سجل المرفقات,65,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,17,فاتورة,فاتورة,CMH_01-CLM-017-INVOICE.pdf,04_PAYMENTS,إجباري,,,,CMH_01-CLM-017,سجل المرفقات,68,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,17,تقرير فني,تقرير فني,CMH_01-CLM-017-TECHREPORT.pdf,04_PAYMENTS,إجباري,,,,CMH_01-CLM-017,سجل المرفقات,69,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,18,فاتورة,فاتورة,CMH_01-CLM-018-INVOICE.pdf,04_PAYMENTS,إجباري,,,,CMH_01-CLM-018,سجل المرفقات,72,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,18,تقرير فني,تقرير فني,CMH_01-CLM-018-TECHREPORT.pdf,04_PAYMENTS,إجباري,,,,CMH_01-CLM-018,سجل المرفقات,73,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,19,فاتورة,فاتورة,CMH_01-CLM-019-INVOICE.pdf,04_PAYMENTS,إجباري,,,,CMH_01-CLM-019,سجل المرفقات,76,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,19,تقرير فني,تقرير فني,CMH_01-CLM-019-TECHREPORT.pdf,04_PAYMENTS,إجباري,,,,CMH_01-CLM-019,سجل المرفقات,77,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,20,فاتورة,فاتورة,CMH_01-CLM-020-INVOICE.pdf,04_PAYMENTS,إجباري,,,,CMH_01-CLM-020,سجل المرفقات,80,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,20,تقرير فني,تقرير فني,CMH_01-CLM-020-TECHREPORT.pdf,04_PAYMENTS,إجباري,,,,CMH_01-CLM-020,سجل المرفقات,81,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,21,فاتورة,فاتورة,CMH_01-CLM-021-INVOICE.pdf,04_PAYMENTS,إجباري,,,,CMH_01-CLM-021,سجل المرفقات,84,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,21,تقرير فني,تقرير فني,CMH_01-CLM-021-TECHREPORT.pdf,04_PAYMENTS,إجباري,,,,CMH_01-CLM-021,سجل المرفقات,85,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,,فاتورة,فاتورة,#REF!,04_PAYMENTS,إجباري,,,,#REF!,سجل المرفقات,88,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,,تقرير فني,تقرير فني,#REF!,04_PAYMENTS,إجباري,,,,#REF!,سجل المرفقات,89,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,,فاتورة,فاتورة,#REF!,04_PAYMENTS,إجباري,,,,#REF!,سجل المرفقات,92,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,,تقرير فني,تقرير فني,#REF!,04_PAYMENTS,إجباري,,,,#REF!,سجل المرفقات,93,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,,فاتورة,فاتورة,#REF!,04_PAYMENTS,إجباري,,,,#REF!,سجل المرفقات,96,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,,تقرير فني,تقرير فني,#REF!,04_PAYMENTS,إجباري,,,,#REF!,سجل المرفقات,97,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,,فاتورة,فاتورة,#REF!,04_PAYMENTS,إجباري,,,,#REF!,سجل المرفقات,100,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,,تقرير فني,تقرير فني,#REF!,04_PAYMENTS,إجباري,,,,#REF!,سجل المرفقات,101,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,,فاتورة,فاتورة,#REF!,04_PAYMENTS,إجباري,,,,#REF!,سجل المرفقات,104,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,,تقرير فني,تقرير فني,#REF!,04_PAYMENTS,إجباري,,,,#REF!,سجل المرفقات,105,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,,فاتورة,فاتورة,#REF!,04_PAYMENTS,إجباري,,,,#REF!,سجل المرفقات,108,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,,تقرير فني,تقرير فني,#REF!,04_PAYMENTS,إجباري,,,,#REF!,سجل المرفقات,109,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,,فاتورة,فاتورة,#REF!,04_PAYMENTS,إجباري,,,,#REF!,سجل المرفقات,112,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,,تقرير فني,تقرير فني,#REF!,04_PAYMENTS,إجباري,,,,#REF!,سجل المرفقات,113,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,,فاتورة,فاتورة,#REF!,04_PAYMENTS,إجباري,,,,#REF!,سجل المرفقات,116,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,,تقرير فني,تقرير فني,#REF!,04_PAYMENTS,إجباري,,,,#REF!,سجل المرفقات,117,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,,فاتورة,فاتورة,#REF!,04_PAYMENTS,إجباري,,,,#REF!,سجل المرفقات,120,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,,تقرير فني,تقرير فني,#REF!,04_PAYMENTS,إجباري,,,,#REF!,سجل المرفقات,121,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,,فاتورة,فاتورة,#REF!,04_PAYMENTS,إجباري,,,,#REF!,سجل المرفقات,124,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,,تقرير فني,تقرير فني,#REF!,04_PAYMENTS,إجباري,,,,#REF!,سجل المرفقات,125,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,,فاتورة,فاتورة,#REF!,04_PAYMENTS,إجباري,,,,#REF!,سجل المرفقات,128,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,,تقرير فني,تقرير فني,#REF!,04_PAYMENTS,إجباري,,,,#REF!,سجل المرفقات,129,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,,فاتورة,فاتورة,#REF!,04_PAYMENTS,إجباري,,,,#REF!,سجل المرفقات,132,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,,تقرير فني,تقرير فني,#REF!,04_PAYMENTS,إجباري,,,,#REF!,سجل المرفقات,133,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,,فاتورة,فاتورة,#REF!,04_PAYMENTS,إجباري,,,,#REF!,سجل المرفقات,136,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,,تقرير فني,تقرير فني,#REF!,04_PAYMENTS,إجباري,,,,#REF!,سجل المرفقات,137,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,,فاتورة,فاتورة,#REF!,04_PAYMENTS,إجباري,,,,#REF!,سجل المرفقات,140,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,,تقرير فني,تقرير فني,#REF!,04_PAYMENTS,إجباري,,,,#REF!,سجل المرفقات,141,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
